date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:50:32	43718/43718	---M-Z	200	added ('OK')	text/html	etag:%22aac6-67a35ecd-3411ae19ec92dd2b;gz%22	https://saptarang.org/envato/traveler/01/index2.html	D:/xyz/saptarang.org/envato/traveler/01/index2.html	(from )
23:50:32	1903/1903	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-68074bd6-ffb709f86ae65ff0;gz%22	https://saptarang.org/robots.txt		(from )
23:50:33	123603/123603	---M-Z	200	added ('OK')	text/css	etag:%221e2d3-66a880a4-1ac4747882fd48c0;gz%22	https://saptarang.org/envato/traveler/01/css/bootstrap.min.css	D:/xyz/saptarang.org/envato/traveler/01/css/bootstrap.min.css	(from https://saptarang.org/envato/traveler/01/index2.html)
23:50:34	28759/28759	---M-Z	200	added ('OK')	text/css	etag:%227057-66a881f3-64e87ec4c15bee3c;gz%22	https://saptarang.org/envato/traveler/01/fonts/font-awesome/css/font-awesome.min.css	D:/xyz/saptarang.org/envato/traveler/01/fonts/font-awesome/css/font-awesome.min.css	(from https://saptarang.org/envato/traveler/01/index2.html)
23:50:34	53431/53431	---M-Z	200	added ('OK')	text/css	etag:%22d0b7-66a880a4-35b3679bdd77f846;gz%22	https://saptarang.org/envato/traveler/01/css/animate.min.css	D:/xyz/saptarang.org/envato/traveler/01/css/animate.min.css	(from https://saptarang.org/envato/traveler/01/index2.html)
23:50:35	7570/7570	---M-Z	200	added ('OK')	text/css	etag:%221d92-66a880a5-5592e97044a36283;gz%22	https://saptarang.org/envato/traveler/01/css/owl.carousel.css	D:/xyz/saptarang.org/envato/traveler/01/css/owl.carousel.css	(from https://saptarang.org/envato/traveler/01/index2.html)
23:50:35	19888/19888	---M-Z	200	added ('OK')	text/css	etag:%224db0-66a880a5-dd78a979c685dd75;gz%22	https://saptarang.org/envato/traveler/01/css/prettyPhoto.css	D:/xyz/saptarang.org/envato/traveler/01/css/prettyPhoto.css	(from https://saptarang.org/envato/traveler/01/index2.html)
23:50:36	49198/49198	---M-Z	200	added ('OK')	text/css	etag:%22c02e-66a880a5-a995faf7de58f5bc;gz%22	https://saptarang.org/envato/traveler/01/css/style.css	D:/xyz/saptarang.org/envato/traveler/01/css/style.css	(from https://saptarang.org/envato/traveler/01/index2.html)
23:50:36	2920/2920	---M-Z	200	added ('OK')	text/css	etag:%22b68-66a880a4-2433110e806fa29b;gz%22	https://saptarang.org/envato/traveler/01/css/color-yellow.css	D:/xyz/saptarang.org/envato/traveler/01/css/color-yellow.css	(from https://saptarang.org/envato/traveler/01/index2.html)
23:50:37	8281/8281	---M-Z	200	added ('OK')	application/x-javascript	etag:%222059-66a880a7-97a13f1cb3a8e9d1;gz%22	https://saptarang.org/envato/traveler/01/js/modernizr.custom.js	D:/xyz/saptarang.org/envato/traveler/01/js/modernizr.custom.js	(from https://saptarang.org/envato/traveler/01/index2.html)
23:50:38	1150/1150	---M-Z	200	added ('OK')	image/x-icon	etag:%2247e-66a8813b-e7d44e827eba9029;gz%22	https://saptarang.org/envato/traveler/01/images/icons/favicon.ico	D:/xyz/saptarang.org/envato/traveler/01/images/icons/favicon.ico	(from https://saptarang.org/envato/traveler/01/index2.html)
23:50:38	8456/8456	---M--	200	added ('OK')	image/png	date:Sat,%2031%20May%202025%2016:50:41%20GMT	https://saptarang.org/envato/traveler/01/images/icons/apple-icon-144x144.png	D:/xyz/saptarang.org/envato/traveler/01/images/icons/apple-icon-144x144.png	(from https://saptarang.org/envato/traveler/01/index2.html)
23:50:39	3337/3337	---M--	200	added ('OK')	image/png	date:Sat,%2031%20May%202025%2016:50:41%20GMT	https://saptarang.org/envato/traveler/01/images/icons/apple-icon-72x72.png	D:/xyz/saptarang.org/envato/traveler/01/images/icons/apple-icon-72x72.png	(from https://saptarang.org/envato/traveler/01/index2.html)
23:50:39	6101/6101	---M--	200	added ('OK')	image/png	date:Sat,%2031%20May%202025%2016:50:42%20GMT	https://saptarang.org/envato/traveler/01/images/icons/apple-icon-114x114.png	D:/xyz/saptarang.org/envato/traveler/01/images/icons/apple-icon-114x114.png	(from https://saptarang.org/envato/traveler/01/index2.html)
23:50:40	10419/10419	---M--	200	added ('OK')	image/png	date:Sat,%2031%20May%202025%2016:50:42%20GMT	https://saptarang.org/envato/traveler/01/images/company-yellow.png	D:/xyz/saptarang.org/envato/traveler/01/images/company-yellow.png	(from https://saptarang.org/envato/traveler/01/index2.html)
23:50:40	44312/44312	---M-Z	200	added ('OK')	text/html	etag:%22ad18-67a35e6a-50813f22f9d4de74;gz%22	https://saptarang.org/envato/traveler/01/index.html	D:/xyz/saptarang.org/envato/traveler/01/index.html	(from https://saptarang.org/envato/traveler/01/index2.html)
23:50:42	135011/135011	---M--	200	added ('OK')	image/jpeg	date:Sat,%2031%20May%202025%2016:50:44%20GMT	https://saptarang.org/envato/traveler/01/images/slider/slide1.jpg	D:/xyz/saptarang.org/envato/traveler/01/images/slider/slide1.jpg	(from https://saptarang.org/envato/traveler/01/index2.html)
23:50:43	132499/132499	---M--	200	added ('OK')	image/jpeg	date:Sat,%2031%20May%202025%2016:50:45%20GMT	https://saptarang.org/envato/traveler/01/images/slider/slide2.jpg	D:/xyz/saptarang.org/envato/traveler/01/images/slider/slide2.jpg	(from https://saptarang.org/envato/traveler/01/index2.html)
23:50:44	156836/156836	---M--	200	added ('OK')	image/jpeg	date:Sat,%2031%20May%202025%2016:50:46%20GMT	https://saptarang.org/envato/traveler/01/images/slider/slide3.jpg	D:/xyz/saptarang.org/envato/traveler/01/images/slider/slide3.jpg	(from https://saptarang.org/envato/traveler/01/index2.html)
23:50:45	379122/379122	---M--	200	added ('OK')	image/jpeg	date:Sat,%2031%20May%202025%2016:50:47%20GMT	https://saptarang.org/envato/traveler/01/images/slider/slide4.jpg	D:/xyz/saptarang.org/envato/traveler/01/images/slider/slide4.jpg	(from https://saptarang.org/envato/traveler/01/index2.html)
23:50:46	143780/143780	---M--	200	added ('OK')	image/jpeg	date:Sat,%2031%20May%202025%2016:50:48%20GMT	https://saptarang.org/envato/traveler/01/images/slider/slide5.jpg	D:/xyz/saptarang.org/envato/traveler/01/images/slider/slide5.jpg	(from https://saptarang.org/envato/traveler/01/index2.html)
23:50:47	250284/250284	---M-Z	200	added ('OK')	image/svg+xml	etag:%223d1ac-66a88139-4639e62f6bb9f355;gz%22	https://saptarang.org/envato/traveler/01/images/svg/arrow-right-s.svg	D:/xyz/saptarang.org/envato/traveler/01/images/svg/arrow-right-s.svg	(from https://saptarang.org/envato/traveler/01/index2.html)
23:50:47	509/509	---M--	200	added ('OK')	image/png	date:Sat,%2031%20May%202025%2016:50:50%20GMT	https://saptarang.org/envato/traveler/01/images/svg/arrow-right-s.png	D:/xyz/saptarang.org/envato/traveler/01/images/svg/arrow-right-s.png	(from https://saptarang.org/envato/traveler/01/index2.html)
23:50:49	251181/251181	---M-Z	200	added ('OK')	image/svg+xml	etag:%223d52d-66a88139-ce0749294f964c20;gz%22	https://saptarang.org/envato/traveler/01/images/svg/arrow-left-s.svg	D:/xyz/saptarang.org/envato/traveler/01/images/svg/arrow-left-s.svg	(from https://saptarang.org/envato/traveler/01/index2.html)
23:50:49	511/511	---M--	200	added ('OK')	image/png	date:Sat,%2031%20May%202025%2016:50:51%20GMT	https://saptarang.org/envato/traveler/01/images/svg/arrow-left-s.png	D:/xyz/saptarang.org/envato/traveler/01/images/svg/arrow-left-s.png	(from https://saptarang.org/envato/traveler/01/index2.html)
23:50:50	24638/24638	---M--	200	added ('OK')	image/jpeg	date:Sat,%2031%20May%202025%2016:50:52%20GMT	https://saptarang.org/envato/traveler/01/images/hotel.jpg	D:/xyz/saptarang.org/envato/traveler/01/images/hotel.jpg	(from https://saptarang.org/envato/traveler/01/index2.html)
23:50:51	122767/122767	---M--	200	added ('OK')	image/jpeg	date:Sat,%2031%20May%202025%2016:50:53%20GMT	https://saptarang.org/envato/traveler/01/images/places/01.jpg	D:/xyz/saptarang.org/envato/traveler/01/images/places/01.jpg	(from https://saptarang.org/envato/traveler/01/index2.html)
23:50:52	122080/122080	---M--	200	added ('OK')	image/jpeg	date:Sat,%2031%20May%202025%2016:50:54%20GMT	https://saptarang.org/envato/traveler/01/images/places/02.jpg	D:/xyz/saptarang.org/envato/traveler/01/images/places/02.jpg	(from https://saptarang.org/envato/traveler/01/index2.html)
23:50:53	72752/72752	---M--	200	added ('OK')	image/jpeg	date:Sat,%2031%20May%202025%2016:50:55%20GMT	https://saptarang.org/envato/traveler/01/images/places/03.jpg	D:/xyz/saptarang.org/envato/traveler/01/images/places/03.jpg	(from https://saptarang.org/envato/traveler/01/index2.html)
23:50:54	119080/119080	---M--	200	added ('OK')	image/jpeg	date:Sat,%2031%20May%202025%2016:50:56%20GMT	https://saptarang.org/envato/traveler/01/images/places/04.jpg	D:/xyz/saptarang.org/envato/traveler/01/images/places/04.jpg	(from https://saptarang.org/envato/traveler/01/index2.html)
23:50:55	91049/91049	---M--	200	added ('OK')	image/jpeg	date:Sat,%2031%20May%202025%2016:50:57%20GMT	https://saptarang.org/envato/traveler/01/images/places/05.jpg	D:/xyz/saptarang.org/envato/traveler/01/images/places/05.jpg	(from https://saptarang.org/envato/traveler/01/index2.html)
23:50:55	16355/16355	---M--	200	added ('OK')	image/jpeg	date:Sat,%2031%20May%202025%2016:50:58%20GMT	https://saptarang.org/envato/traveler/01/images/gallery/small/01.jpg	D:/xyz/saptarang.org/envato/traveler/01/images/gallery/small/01.jpg	(from https://saptarang.org/envato/traveler/01/index2.html)
23:50:56	16355/16355	---M--	200	added ('OK')	image/jpeg	date:Sat,%2031%20May%202025%2016:50:58%20GMT	https://saptarang.org/envato/traveler/01/images/gallery/large/01.jpg	D:/xyz/saptarang.org/envato/traveler/01/images/gallery/large/01.jpg	(from https://saptarang.org/envato/traveler/01/index2.html)
23:50:57	616/616	---M-Z	200	added ('OK')	image/svg+xml	etag:%22268-66a88139-48e88be15a27ecad;gz%22	https://saptarang.org/envato/traveler/01/images/svg/plus-icon.svg	D:/xyz/saptarang.org/envato/traveler/01/images/svg/plus-icon.svg	(from https://saptarang.org/envato/traveler/01/index2.html)
